9
272	371	820	1416	1440	0	0	0	0	0	893	1052	1935	1928	1940	1	1	1	1	1	575	821	1669	2292	2321	25926.62	25926.62	25926.62	25926.62	25926.62	1	1	1	1	1	0	25	42	43	46	54	111	133	135	134
467	965	990	1022	1049	0	0	0	0	0	1521	2718	2530	2505	2491	2.11	2.11	2.11	2.11	2.11	1005	1839	1788	1801	1774	26400.75	26400.75	26400.75	26400.75	26400.75	1	1	1	1	1	0	376	376	378	385	165	244	285	313	325
1565	1688	1826	1958	2068	0	0	0	0	0	4902	4624	4847	5034	5280	3.07	3.07	3.07	3.07	3.07	3004	2894	3028	3170	3223	27159.75	27159.75	27159.75	27159.75	27159.75	1	1	1	1	1	15	1166	1240	1253	1270	225	726	752	783	821
539	802	867	902	958	0	0	0	0	0	1916	2706	2470	2417	2510	1.24	1.24	1.24	1.24	1.24	1377	1963	2017	2056	2166	29843.91	29843.91	29843.91	29843.91	29843.91	1	1	1	1	1	132	5	58	79	99	347	79	30	48	38
608	782	1082	1260	1338	0	0	0	0	0	2078	2510	3082	3367	3497	0.79	0.79	0.79	0.79	0.79	1553	1891	2521	2873	3027	33736.07	33736.07	33736.07	33736.07	33736.07	1	1	1	1	1	0	15	6	17	22	149	122	82	109	115
265	233	436	595	632	0	0	0	0	0	944	695	1240	1589	1650	0.62	0.62	0.62	0.62	0.62	677	552	1015	1355	1428	33565.01	33565.01	33565.01	33565.01	33565.01	1	1	1	1	1	0	0	0	0	0	42	37	49	53	58
66	162	152	190	202	0	0	0	0	0	253	552	433	502	521	0.91	0.91	0.91	0.91	0.91	168	379	336	409	431	29851.84	29851.84	29851.84	29851.84	29851.84	1	1	1	1	1	0	0	0	0	0	29	0	0	0	0
419	519	692	1278	1326	0	0	0	0	0	1457	1567	2016	3547	3617	0.82	0.82	0.82	0.82	0.82	1112	1211	1594	2885	2974	34548.31	34548.31	34548.31	34548.31	34548.31	1	1	1	1	1	0	0	0	0	0	104	83	116	158	195
657	843	1215	1796	1880	0	0	0	0	0	2317	2736	3538	4983	5127	0.81	0.81	0.81	0.81	0.81	1693	2002	2783	4031	3811	34685.45	34685.45	34685.45	34685.45	34685.45	1	1	1	1	1	102	80	112	152	188	131	182	255	336	417
505	674	702	1041	2001	0	0	0	0	0	1780	2150	2045	2889	5457	0.67	0.67	0.67	0.67	0.67	1192	1619	1640	2391	4551	37722.57	37722.57	37722.57	37722.57	37722.57	1	1	1	1	1	0	30	42	57	71	37	8	11	15	18
388	552	600	2077	2221	0	0	0	0	0	1437	1790	1749	5761	6057	0.82	0.82	0.82	0.82	0.82	916	1361	1435	4850	5155	35176.81	35176.81	35176.81	35176.81	35176.81	1	1	1	1	1	25	10	14	19	24	87	92	129	175	223
658	702	3245	3907	3954	0	0	0	0	0	2373	2235	9452	10838	10783	0.78	0.78	0.78	0.78	0.78	1554	1653	7186	8417	8417	33990.11	33990.11	33990.11	33990.11	33990.11	1	1	1	1	1	29	31	988	1364	1694	70	182	988	1363	1694
145	292	650	1632	1555	0	0	0	0	0	432	842	1894	4528	4241	0.84	0.84	0.84	0.84	0.84	346	598	1320	3193	2940	31892.72	31892.72	31892.72	31892.72	31892.72	1	1	1	1	1	62	83	116	158	196	89	196	275	374	463
253	451	470	564	525	0	0	0	0	0	684	1257	1368	1565	1431	1.12	1.12	1.12	1.12	1.12	597	1008	1062	1250	1155	31412.61	31412.61	31412.61	31412.61	31412.61	1	1	1	1	1	91	107	150	204	253	574	1531	2143	2914	3613
328	1116	1612	1992	1834	0	0	0	0	0	1003	3412	4694	5526	5002	1.33	1.33	1.33	1.33	1.33	872	2557	3608	4357	3991	30373.69	30373.69	30373.69	30373.69	30373.69	1	1	1	1	1	0	92	129	175	217	171	733	1026	1396	1731
